"Distance [mm]"	"Bt []"
100.261164	0.349876915581678
100.475856	0.22817243095291
100.690548	0.177381559943961
100.90524	0.0975991037218557
101.119932	0.0191653491916902
101.334624	0.0137633630299799
101.549316	0.0242343306058236
101.764008	0.0337557358298983
101.9787	0.0314836867241977
102.193392	0.0265404533317179
102.408084	0.0200702079501177
102.622776	0.0223065113384123
102.837468	0.0190820457182339
103.05216	0.0157693320457632
103.266852	0.0131002492630327
103.481544	0.00962639913621962
103.696236	0.00792358970781246
103.910928	0.0063078073315322
104.12562	0.00478058847381541
104.340312	0.00257735312297754
104.555004	0.0034192450820098
104.769696	0.00394030233186565
104.984388	0.00384732871873625
105.19908	0.00247659821468609
105.413772	0.00194149930109487
105.628464	0.00142220973781265
105.843156	0.000920128842167835
106.057848	0.000436653866530124
106.27254	-0.000395292875156407
106.487232	0.00139828175653291
106.701924	0.00170447566252455
106.916616	0.00196366745686441
107.131308	0.000146167783143695
107.346	-0.000353752704478564
107.560692	-0.000859469176569243
107.775384	-0.00136957867349835
107.990076	-0.0028838230234447
108.204768	-0.00128281767085164
108.41946	3.72215916950655E-05
108.634152	0.0011344154022969
108.848844	-0.000189954414049304
109.063536	-0.000760631374821202
109.278228	-0.00135377859909879
109.49292	-0.00196798601323214
109.707612	-0.00360371733569562
109.922304	-0.00383141147480344
110.136996	-0.00387001791415223
110.351688	-0.00362452518401883
110.56638	-0.00548602151972828
110.781072	-0.00678370683013675
110.995764	-0.00816663542343487
111.210456	-0.00963330683252567
111.425148	-0.0111822106133948
111.63984	-0.012887905425012
111.854532	-0.0157485535404078
112.069224	-0.0193218226187923
112.283916	-0.0236480437048734
112.498608	-0.032046999182787
112.7133	-0.0327258862148133
112.927992	-0.0328780800352078
113.142684	-0.0335042277921738
113.357376	-0.0179767676024347
113.572068	-0.0066964413587925
113.78676	-0.0755026690048432
114.001452	-0.154999347028544
114.216144	-0.19461001831553
114.430836	-0.315496504148551
114.645528	-0.390075196523728
114.86022	-0.381532538500047
115.074912	-0.373112366236508
115.289604	-0.366065701743663
115.504296	-0.361240228073316
115.718988	-0.32362925822838
115.93368	-0.288069404000335
116.148372	-0.196592947356726
116.363064	-0.133481391077333
116.577756	-0.0952612890690006
116.792448	-0.0650373361308108
117.00714	-0.0606710175383562
117.221832	-0.0516102936150109
117.436524	-0.0445507395680378
117.651216	-0.038894160631575
117.865908	-0.0312223034995403
118.0806	-0.0256698647605012
118.295292	-0.0212433300144483
118.509984	-0.0183489274369235
118.724676	-0.0171748349145441
118.939368	-0.013708135614385
119.15406	-0.010355488591735
119.368752	-0.00736743241728567
119.583444	-0.00518231087552436
119.798136	-0.00551592450238198
120.012828	-0.00611658130455218
120.22752	-0.00791311380353737
120.442212	-0.00967373763794526
120.656904	-0.00558490774404937
120.871596	-0.00267815436539251
121.086288	-0.000730274896391824
121.30098	0.00113107602350606
121.515672	-0.00159913852331242
121.730364	-0.0022928247462424
121.945056	-0.00300529947496153
122.159748	-0.00373777846291156
122.37444	-0.00611561558614049
122.589132	-0.0041404485537276
122.803824	-0.0015010319858465
123.018516	0.000819246916281663
123.233208	1.9633286146576E-05
123.4479	-0.00251778751528214
123.662592	-0.00594568227176891
123.877284	-0.0100406524427868
124.091976	-0.0139612445725821
124.306668	-0.0130181124479414
124.52136	-0.0124981820008557
124.736052	-0.0127539533903804
124.950744	-0.0128318135004987
125.165436	-0.00252279406271914
125.380128	-0.000983765845665181
125.59482	-0.00392658097634342
125.809512	-0.00616532704191032
126.024204	-0.00309345711148886
126.238896	-0.00070830492359566
126.453588	0.00151592676916325
126.66828	0.00262133950809691
126.882972	-0.00164306269200788
127.097664	-0.00613580647470649
127.312356	-0.0244171910723783
127.527048	-0.0425285036732196
127.74174	-0.0167043992991503
127.956432	0.00108038148889319
128.171124	0.021103404235909
128.385816	0.0433604844808678
128.600508	0.050274060887647
128.8152	0.120613881797628
129.029892	0.19150862103781
129.244584	0.262946287498994
129.459276	0.33133941164291
129.673968	0.407095246858734
129.88866	0.47650080785146
130.103352	0.409720393285853
130.318044	0.345955089367722
130.532736	0.318037338340149
130.747428	0.33583848901629
130.96212	0.302630956370485
131.176812	0.235383726188976
131.391504	0.183870731503562
131.606196	0.143999958548284
131.820888	0.116791505887865
132.03558	0.100624655802001
132.250272	0.0836915373979833
132.464964	0.0619949484242932
132.679656	0.0498485303793358
132.894348	0.0462683618038563
