"Distance [mm]"	"Distance/($D/2-$g/2)*180/pi []"	"Br []"
98.543628	165.197044023323	0.585020012470295
98.75832	165.556950437317	0.548807759033472
98.973012	165.916856851311	0.427473950541593
99.187704	166.276763265305	0.328200886474668
99.402396	166.636669679299	0.147645346303021
99.617088	166.996576093293	0.0494633354565431
99.83178	167.356482507288	-0.0474774996713886
100.046472	167.716388921282	-0.143680243128362
100.261164	168.076295335276	-0.332327073292798
100.475856	168.43620174927	-0.364639828239007
100.690548	168.796108163264	-0.475648900482855
100.90524	169.156014577258	-0.540915870517121
101.119932	169.515920991253	-0.607716244534784
101.334624	169.875827405247	-0.70479562210214
101.549316	170.235733819241	-0.740982918647796
101.764008	170.595640233235	-0.778421963412216
101.9787	170.955546647229	-0.814723908419249
102.193392	171.315453061224	-0.824705598030829
102.408084	171.675359475218	-0.829914386472924
102.622776	172.035265889212	-0.84215207490514
102.837468	172.395172303206	-0.845684113217643
103.05216	172.7550787172	-0.855523599001117
103.266852	173.114985131194	-0.865215508485962
103.481544	173.474891545188	-0.870750040170416
103.696236	173.834797959183	-0.875496154133845
103.910928	174.194704373177	-0.88034243247876
104.12562	174.554610787171	-0.885288185866963
104.340312	174.914517201165	-0.890100651187236
104.555004	175.274423615159	-0.888940578661295
104.769696	175.634330029153	-0.890271488588398
104.984388	175.994236443148	-0.895501833835102
105.19908	176.354142857142	-0.898562357202941
105.413772	176.714049271136	-0.899348731828514
105.628464	177.07395568513	-0.900216319531439
105.843156	177.433862099124	-0.901164981467824
106.057848	177.793768513118	-0.902194570628108
106.27254	178.153674927113	-0.901477142109478
106.487232	178.513581341107	-0.897830182629559
106.701924	178.873487755101	-0.902018987207162
106.916616	179.233394169095	-0.905684978852207
107.131308	179.593300583089	-0.904365788232814
107.346	179.953206997083	-0.904046627519935
107.560692	180.313113411078	-0.903808739593616
107.775384	180.673019825072	-0.903652173279081
107.990076	181.032926239066	-0.903356510796537
108.204768	181.39283265306	-0.898738339983807
108.41946	181.752739067054	-0.898172421880659
108.634152	182.112645481048	-0.902153954477749
108.848844	182.472551895043	-0.901795908725775
109.063536	182.832458309037	-0.900434807899929
109.278228	183.192364723031	-0.899156294686607
109.49292	183.552271137025	-0.897960525470415
109.707612	183.912177551019	-0.897431581049924
109.922304	184.272083965014	-0.892971611451417
110.136996	184.631990379008	-0.8862161985379
110.351688	184.991896793002	-0.887748503143188
110.56638	185.351803206996	-0.886619914792857
110.781072	185.71170962099	-0.881999993764421
110.995764	186.071616034984	-0.877475938277618
111.210456	186.431522448978	-0.873048440142824
111.425148	186.791428862973	-0.868718181119884
111.63984	187.151335276967	-0.860918572206389
111.854532	187.511241690961	-0.853296465345454
112.069224	187.871148104955	-0.841822013486805
112.283916	188.231054518949	-0.836164884336991
112.498608	188.590960932943	-0.823669071987487
112.7133	188.950867346938	-0.819500015122135
112.927992	189.310773760932	-0.789743589268141
113.142684	189.670680174926	-0.74903029072317
113.357376	190.03058658892	-0.714516349734017
113.572068	190.390493002914	-0.681118823229917
113.78676	190.750399416909	-0.560132740568823
114.001452	191.110305830903	-0.494368082833595
114.216144	191.470212244897	-0.37472527429268
114.430836	191.830118658891	-0.341001585102336
114.645528	192.190025072885	-0.170761105626451
114.86022	192.549931486879	-0.0748824135071657
