"Distance [mm]"	"Flux_Lines []"
124.52136	0.00169806830991467
124.736052	0.00189241843060193
124.950744	0.00208396247576082
125.165436	0.00227553660583032
125.380128	0.0024656406005915
125.59482	0.00265702894353025
125.809512	0.0028468857800545
126.024204	0.00303613688267875
126.238896	0.00322602894099075
126.453588	0.00341478632799017
126.66828	0.00360449561042102
126.882972	0.00379442523682323
127.097664	0.00398247651656259
127.312356	0.0041703461923136
127.527048	0.00435383228197837
127.74174	0.00453561075075791
127.956432	0.00470364058117757
128.171124	0.0048570271448395
128.385816	0.00499586355803765
128.600508	0.00512288492973708
128.8152	0.00524267408601014
129.029892	0.00535547636883322
129.244584	0.0054615875154714
129.459276	0.0055611520891596
129.673968	0.00565258617491296
129.88866	0.00573729824221866
130.103352	0.0058024170785416
130.318044	0.00582980928730482
130.532736	0.00582263255284188
130.747428	0.00580596240095795
130.96212	0.00574697087320048
131.176812	0.0056621636630926
131.391504	0.00555782097313242
131.606196	0.00543379083046762
131.820888	0.00529465685008789
132.03558	0.00514665647514587
132.250272	0.00498955588776877
132.464964	0.00482656489473473
132.679656	0.00465739833218071
132.894348	0.00448451392631281
133.10904	0.00430885771520641
133.323732	0.00413030120829584
133.538424	0.00395013699168836
133.753116	0.00376696123099064
133.967808	0.00358172091397615
134.1825	0.00339500760375146
134.397192	0.00320707699766384
134.611884	0.0030179070031706
134.826576	0.00282747585630813
135.041268	0.00263613930606245
135.25596	0.00244518625516479
135.470652	0.00225374672941999
135.685344	0.00206101616852537
135.900036	0.00186768871739936
136.114728	0.00167397116955093
136.32942	0.00147978912148214
136.544112	0.00128512489580161
136.758804	0.00108985177872609
136.973496	0.000895047460147422
137.188188	0.00070064122089933
137.40288	0.000505316196877099
137.617572	0.000309609390551756
137.832264	0.000113809509972455
138.046956	-8.26369392811871E-05
138.261648	-0.000279734609942151
138.47634	-0.000477211202277475
138.691032	-0.000673134004400208
138.905724	-0.000867595838264127
139.120416	-0.00106109285208998
139.335108	-0.00125409885754289
139.5498	-0.00144638733361384
139.764492	-0.00163925306672801
139.979184	-0.00183143312004119
140.193876	-0.00202321210927323
140.408568	-0.00221463332781376
140.62326	-0.0024056118341651
140.837952	-0.00259615576416541
141.052644	-0.00278923159506523
141.267336	-0.00298355518934921
141.482028	-0.00317792624662088
141.69672	-0.0033731120452156
141.911412	-0.00356517187729397
142.126104	-0.00374962266173804
142.340796	-0.00392632294571613
142.555488	-0.00408368931182572
142.77018	-0.0042299062380406
142.984872	-0.00436692196931457
143.199564	-0.00450065358879793
143.414256	-0.00463203620497171
143.628948	-0.0047652295029812
143.84364	-0.00490289080047826
144.058332	-0.00504471615260522
144.273024	-0.0051930575306502
144.487716	-0.00535754291726975
144.702408	-0.00549040997141281
144.9171	-0.00560707790401706
145.131792	-0.00572045670828808
145.346484	-0.00579380184922246
145.561176	-0.00583517724659149
145.775868	-0.00584775110241399
145.99056	-0.00583475192862552
146.205252	-0.00578704344179947
146.419944	-0.00571082860515283
146.634636	-0.0056061167660441
146.849328	-0.00548593532629565
147.06402	-0.00535370636354724
147.278712	-0.00520851554868402
147.493404	-0.0050544786153755
147.708096	-0.00489380732803495
147.922788	-0.00472794318981455
148.13748	-0.00455700449782525
148.352172	-0.00438101120444356
148.566864	-0.00420222615392162
148.781556	-0.00402188157260364
148.996248	-0.00383848184165964
149.21094	-0.0036545059950301
149.425632	-0.00346877851209902
149.640324	-0.00328082787049534
149.855016	-0.00309233982908258
150.069708	-0.00290166587358902
150.2844	-0.00270967105184164
150.499092	-0.00251792480211474
150.713784	-0.00232499572610742
150.928476	-0.00213229823613574
151.143168	-0.00193971211668894
151.35786	-0.00174570649407457
151.572552	-0.00155136041154586
151.787244	-0.00135603902611624
152.001936	-0.00115913313578023
152.216628	-0.000962646860991329
152.43132	-0.000766194098302571
152.646012	-0.000569400481253896
152.860704	-0.000373385871104518
153.075396	-0.000177775782126698
153.290088	1.81083719433107E-05
153.50478	0.00021253191943173
153.719472	0.000405259657884067
153.934164	0.00059791917678507
154.148856	0.000789606999862247
154.363548	0.000981548778437335
154.57824	0.00117316881401375
154.792932	0.00136506038249112
155.007624	0.00155810900225025
