"Time [ms]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
39.2848000000003	-0	0.0732763820893131
39.3990000000003	-0	0.144524779029262
39.5132000000003	-0	0.315210790528241
39.6274000000003	-0	0.57308619294525
39.7416000000003	-0	0.312562554593884
39.8558000000003	-0	0.244494510093957
39.9700000000003	-0	0.175699885752878
40.0842000000003	-0	0.133272898776551
40.1984000000003	-0	0.162673561746419
40.3126000000003	-0	0.274935176326515
40.4268000000003	-0	0.494503468944321
40.5410000000003	-0	0.26505294296872
40.6552000000003	-0	0.204935735768571
40.7694000000003	-0	0.131423472275203
40.8836000000003	-0	0.0725177889837022
40.9978000000003	-0	0.0733912955947215
41.1120000000003	-0	0.152415509893236
41.2262000000003	-0	0.331677187635685
41.3404000000003	-0	0.190636884749027
41.4546000000003	-0	0.144339275258777
41.5688000000003	-0	0.0734217918408181
41.6830000000003	-0	0.0118256755505636
41.7972000000003	-0	-0.00783317298747437
41.9114000000003	-0	0.0514898532337804
42.0256000000003	-0	0.192309727328996
42.1398000000003	-0	0.420920075739996
42.2540000000003	-0	0.219299684739592
42.3682000000003	-0	0.156043227208458
42.4824000000003	-0	0.0816903821756815
42.5966000000003	-0	0.0306902158056504
42.7108000000003	-0	0.0400159443198417
42.8250000000003	-0	0.137101255696056
42.9392000000003	-0	0.329195789152398
43.0534000000003	-0	0.182540011629524
43.1676000000003	-0	0.13414377736911
43.2818000000003	-0	0.0649840402600092
43.3960000000003	-0	-0.00267986142300068
43.5102000000003	-0	-0.0104165346924428
43.6244000000003	-0	0.0506132417849608
43.7386000000003	-0	0.201293008453683
43.8528000000003	-0	0.446637281615127
43.9670000000003	-0	0.228981208964308
44.0812000000003	-0	0.162602243436552
44.1954000000003	-0	0.0873922632645168
44.3096000000003	-0	0.04363274538658
44.4238000000003	-0	0.0361200123617673
44.5380000000003	-0	0.13842413553004
44.6522000000003	-0	0.33919492574752
44.7664000000003	-0	0.178056265547676
44.8806000000003	-0	0.128759888811311
44.9948000000003	-0	0.0523513259861916
45.1090000000003	-0	0.00514055583833954
45.2232000000003	-0	0.00495062165329785
45.3374000000003	-0	-0.0173233478209007
45.4516000000003	-0	0.166192131362572
45.5658000000004	-0	0.423013843988379
45.6800000000004	-0	0.218914526444499
45.7942000000004	-0	0.14674001008793
45.9084000000004	-0	0.0740716873674521
46.0226000000004	-0	0.032270838949698
46.1368000000004	-0	0.00790037648648202
46.2510000000004	-0	0.122540290477273
46.3652000000004	-0	0.338418367812415
46.4794000000004	-0	0.179543385455523
46.5936000000004	-0	0.117976960999844
46.7078000000004	-0	0.0463295800424481
46.8220000000004	-0	0.0053398791434998
46.9362000000004	-0	0.00769953328728809
47.0504000000004	-0	0.0695312894134694
47.1646000000004	-0	0.240206097357809
47.2788000000004	-0	0.501360803386779
47.3930000000004	-0	0.262034150746862
47.5072000000004	-0	0.191860574761415
47.6214000000004	-0	0.122191470599976
47.7356000000004	-0	0.0735183977173802
47.8498000000004	-0	0.104838991778769
47.9640000000004	-0	0.221722715034257
48.0782000000004	-0	0.435621430566769
48.1924000000004	-0	0.22649290631304
48.3066000000004	-0	0.170771921722675
48.4208000000004	-0	0.0856029726580298
48.5350000000004	-0	0.0285270722110354
48.6492000000004	-0	0.036254936943182
48.7634000000004	-0	0.11296235760857
48.8776000000004	-0	0.295265108697868
48.9918000000004	-0	0.165618656850011
49.1060000000004	-0	0.12019322212697
49.2202000000004	-0	0.0454386284146765
49.3344000000004	-0	-0.00721189188193066
49.4486000000004	-0	-0.0246123510471205
49.5628000000004	-0	0.0291859739442902
49.6770000000004	-0	0.167941928513376
49.7912000000004	-0	0.395693396244792
49.9054000000004	-0	0.206414790909196
50.0196000000004	-0	0.142502694857666
50.1338000000004	-0	0.0646685973370403
50.2480000000004	-0	-0.00147670764132568
50.3622000000004	-0	0.0157761821259564
50.4764000000004	-0	0.10744344828088
50.5906000000004	-0	0.302348909256786
50.7048000000004	-0	0.165550912758395
50.8190000000004	-0	0.110694334873678
50.9332000000004	-0	0.0340573852725154
51.0474000000004	-0	-0.0134939215708066
51.1616000000004	-0	-0.0198579709153093
51.2758000000004	-0	0.042781717846055
51.3900000000004	-0	0.19362533561198
51.5042000000004	-0	0.437006181294341
51.6184000000004	-0	0.222374579792577
51.7326000000004	-0	0.152130896866868
51.8468000000004	-0	0.0750751882710008
51.9610000000005	-0	0.0276617440358758
52.0752000000005	-0	0.0519789331411891
52.1894000000005	-0	0.149664115149058
52.3036000000005	-0	0.353816018726497
52.4178000000005	-0	0.185486959473077
52.5320000000005	-0	0.12585896223387
52.6462000000005	-0	0.0524738105004538
52.7604000000005	-0	0.0120148913130367
52.8746000000005	-0	-0.000627105511385348
52.9888000000005	-0	0.0657605784079093
53.1030000000005	-0	0.228702562213643
53.2172000000005	-0	0.479177791064758
53.3314000000005	-0	0.251064116202566
53.4456000000005	-0	0.173510749981334
53.5598000000005	-0	0.10068665635249
53.6740000000005	-0	0.0530089523171128
53.7882000000005	-0	0.0754757270921819
53.9024000000005	-0	0.186396548631742
54.0166000000005	-0	0.398638916060686
54.1308000000005	-0	0.20356731411652
54.2450000000005	-0	0.128805266214374
54.3592000000005	-0	0.0608437161057953
54.4734000000005	-0	0.0111559506963947
54.5876000000005	-0	0.0153128379115322
54.7018000000005	-0	0.0866072160212027
54.8160000000005	-0	0.256534689579427
54.9302000000005	-0	0.521480830198735
55.0444000000005	-0	0.279991773519801
55.1586000000005	-0	0.202343492005844
55.2728000000005	-0	0.123601438104079
55.3870000000005	-0	0.0826191539211396
55.5012000000005	-0	0.110387820930594
55.6154000000005	-0	0.231769107242246
55.7296000000005	-0	0.45694387363305
55.8438000000005	-0	0.232383545212654
55.9580000000005	-0	0.163636019852812
56.0722000000005	-0	0.080206391329278
56.1864000000005	-0	0.0263193252857444
56.3006000000005	-0	0.0308886543469243
56.4148000000005	-0	0.120622862205629
56.5290000000005	-0	0.305162375301367
56.6432000000005	-0	0.164294018188185
56.7574000000005	-0	0.108452592748552
56.8716000000005	-0	0.0282867564309953
56.9858000000005	-0	-0.0231349797937709
57.1	-0	-0.034706997924054
57.2141999999995	-0	0.0309509040436897
57.3283999999995	-0	0.172135443027686
57.4425999999995	-0	0.414121252546404
57.5567999999995	-0	0.206103808158394
57.6709999999995	-0	0.131414228322783
57.7851999999995	-0	0.0568944842168414
57.8993999999995	-0	0.013805288330144
58.0135999999995	-0	0.0377642470548426
58.1277999999995	-0	0.128490825944213
58.2419999999995	-0	0.333859713942368
58.3561999999995	-0	0.17567923463457
58.4703999999995	-0	0.109146860970143
58.5845999999995	-0	0.032917920679569
58.6987999999995	-0	-0.0185767015919581
58.8129999999995	-0	-0.023086319087944
58.9271999999995	-0	0.0468943781408436
59.0413999999995	-0	0.208657224963798
59.1555999999995	-0	0.461773236038336
59.2697999999995	-0	0.233096746607821
59.3839999999995	-0	0.1561568201727
59.4981999999995	-0	0.0815234056956989
59.6123999999995	-0	0.0294009338471508
59.7265999999995	-0	-0.0021502370686468
59.8407999999995	-0	0.11430429318851
59.9549999999995	-0	0.332954896943598
60.0691999999995	-0	0.164693056683563
60.1833999999995	-0	0.102638784309268
60.2975999999995	-0	0.018275293245511
60.4117999999995	-0	-0.0284079997361264
60.5259999999995	-0	-0.0258125367215224
60.6401999999995	-0	0.0622930672764166
60.7543999999995	-0	0.23708035668875
60.8685999999995	-0	0.504761013603193
60.9827999999995	-0	0.267040034044143
61.0969999999995	-0	0.185919323147373
61.2111999999995	-0	0.107191870489607
61.3253999999995	-0	0.0623439232218729
61.4395999999995	-0	0.0937976119614745
61.5537999999995	-0	0.21963930440395
61.6679999999995	-0	0.449350775151198
61.7821999999995	-0	0.223863318146005
61.8963999999995	-0	0.153311732944714
62.0105999999995	-0	0.0687100411510089
62.1247999999995	-0	-0.00161314414899914
62.2389999999996	-0	0.0103230864501217
62.3531999999996	-0	0.0976328208138741
62.4673999999996	-0	0.28849238071888
62.5815999999996	-0	0.150722553978053
62.6957999999996	-0	0.0930192234401071
62.8099999999995	-0	0.0107060514096742
62.9241999999995	-0	-0.0421980379749761
63.0383999999995	-0	-0.0511204102800636
63.1525999999995	-0	-0.0084684509953861
63.2667999999995	-0	0.163687284446534
63.3809999999995	-0	0.409453210076006
63.4951999999995	-0	0.202587673028849
63.6093999999995	-0	0.124953766606732
63.7235999999995	-0	0.0434232910007819
63.8377999999995	-0	0.00645030615012171
63.9519999999995	-0	0.031569722016135
64.0661999999995	-0	0.131826420428656
64.1803999999995	-0	0.337267815048294
64.2945999999995	-0	0.17279283180326
64.4087999999995	-0	0.105776850102044
64.5229999999995	-0	0.0261961179309398
64.6371999999995	-0	-0.0193941589903763
64.7513999999995	-0	-0.0268051680253929
64.8655999999995	-0	0.0457441926546159
64.9797999999994	-0	0.211451594129249
65.0939999999994	-0	0.469676129491072
65.2081999999994	-0	0.234034658285311
65.3223999999994	-0	0.157470648269429
65.4365999999994	-0	0.0822429722834074
65.5507999999994	-0	0.0284069159066859
65.6649999999994	-0	-0.00233071510534646
65.7791999999994	-0	0.120041876153447
65.8933999999994	-0	0.342622262376448
66.0075999999994	-0	0.165576538856529
66.1217999999994	-0	0.104127847263348
66.2359999999994	-0	0.0147642582196693
66.3501999999994	-0	-0.0316525433674495
66.4643999999994	-0	-0.0242346498749856
66.5785999999994	-0	0.0659465739884486
66.6927999999994	-0	0.250646224140184
66.8069999999994	-0	0.13609190596287
66.9211999999994	-0	0.0818775353566351
67.0353999999994	-0	0.00244270111574441
67.1495999999994	-0	-0.0532066941085535
67.2637999999993	-0	-0.0697064465331216
67.3779999999993	-0	-0.0146509293059476
67.4921999999993	-0	0.129475407083208
67.6063999999993	-0	0.36382829190406
67.7205999999993	-0	0.179495796298885
67.8347999999993	-0	0.107903003484192
67.9489999999993	-0	0.0284020899255271
68.0631999999993	-0	-0.012529653584647
68.1773999999993	-0	0.00666668828729645
68.2915999999993	-0	0.101024609606237
68.4057999999993	-0	0.297554779883594
68.5199999999993	-0	0.153306606807051
68.6341999999993	-0	0.0916864126811247
68.7483999999993	-0	0.0123127067844852
68.8625999999993	-0	-0.0394747765507671
68.9767999999993	-0	-0.0452205379585975
69.0909999999993	-0	0.0234030425181621
69.2051999999993	-0	0.183183407385138
69.3193999999993	-0	0.432765121369045
69.4335999999992	-0	0.213080228900036
69.5477999999992	-0	0.137899229847021
69.6619999999992	-0	0.0601669928350989
69.7761999999992	-0	0.0214665077079664
69.8903999999992	-0	0.0480016574786926
70.0045999999992	-0	0.153843396317731
70.1187999999992	-0	0.364137293169198
70.2329999999992	-0	0.184137561373139
70.3471999999992	-0	0.115557176283978
