"Time [ms]"	"BranchCurrent(Vi_a) [A]"	"BranchCurrent(Vi_b) [A]"	"BranchCurrent(Vi_c) [A]"
23.2967999999999	-1.8216977004059	0.000233730581141002	1.82146396982476
23.4109999999999	-1.97419216090241	0.000326113313191183	1.97386604758921
23.5251999999999	-2.16304658460897	0.00041198608633746	2.16263459852263
23.6393999999999	-2.40474482634946	0.000494262001306974	2.40425056434816
23.7535999999999	-1.44502183735665	-0.5737319149613	2.01875375231795
23.8677999999999	-0.6875009040093	-1.03060886924998	1.71810977325928
23.9819999999999	-0.000620192476664339	-1.45733211762217	1.45795231009883
24.0961999999999	-2.63508960903034E-05	-1.55155817863557	1.55158452953166
24.2103999999999	-0.000111565676776332	-1.65161683527902	1.6517284009558
24.3245999999999	-0.00020336171401507	-1.76882379304918	1.7690271547632
24.4387999999999	-0.000296119949073894	-1.91233399897287	1.91263011892195
24.5529999999999	-0.000386540258251253	-2.0880090746832	2.08839561494146
24.6671999999999	-0.000468333211637864	-2.31171323551327	2.31218156872491
24.7813999999999	0.578564800489456	-1.92875495451484	1.35019015402538
24.8955999999999	1.0420618200421	-1.62963172073417	0.587569900692079
25.0097999999999	1.41985444030209	-1.42035931482716	0.000504874525065535
25.1239999999999	1.51768710879655	-1.51768152861097	-5.58018557716977E-06
25.2381999999999	1.61377694916516	-1.61385830779251	8.13586273475941E-05
25.3523999999999	1.72628342835878	-1.7264562890479	0.000172860689127363
25.4665999999999	1.86053500949701	-1.8608017213182	0.000266711821187649
25.5807999999999	2.02570194094849	-2.02605984453199	0.000357903583507291
25.6949999999999	2.23263278159493	-2.23307505479508	0.00044227320014123
25.8091999999999	2.50382776739354	-2.50435089908376	0.000523131690218559
25.9233999999999	2.11193599764832	-1.54134275616494	-0.570593241483377
26.0375999999999	1.81553268270749	-0.793036738556981	-1.02249594415051
26.1517999999999	1.614612023909	-0.220086802405873	-1.39452522150313
26.2659999999999	1.59608660591075	-0.000287688935124153	-1.59579891697562
26.3801999999999	1.70263338486651	-0.000148006781549152	-1.70248537808496
26.4943999999999	1.82886282901464	-0.000236569424739312	-1.8286262595899
26.6085999999999	1.98403076573642	-0.00033019724897581	-1.98370056848745
26.7227999999998	2.17517464646634	-0.000415456325014887	-2.17475919014132
26.8369999999998	2.42113880661418	-0.000496258467018113	-2.42064254814716
26.9511999999998	1.46125921012558	0.573001805421527	-2.03426101554711
27.0653999999998	0.703588188064495	1.03176784635523	-1.73535603441972
27.1795999999998	0.00063753234154329	1.46643587571407	-1.46707340805561
27.2937999999998	3.04388546403734E-05	1.56212802793633	-1.56215846679097
27.4079999999998	0.00011354179996697	1.6629742917585	-1.66308783355847
27.5221999999998	0.000206656922709005	1.7820230147177	-1.78222967164041
27.6363999999998	0.000298347018447931	1.92710261384284	-1.92740096086129
27.7505999999998	0.000388692279757511	2.10463740730237	-2.10502609958212
27.8647999999998	0.000469476248549534	2.33154812294885	-2.3320175991974
27.9789999999998	-0.578289252561034	1.94734570356642	-1.36905645100539
28.0931999999998	-1.04382479368363	1.64906251605806	-0.605237722374436
28.2073999999998	-1.42910146363282	1.42962770482492	-0.000526241192101873
28.3215999999998	-1.52968812697853	1.52968112907667	6.99790185598737E-06
28.4357999999998	-1.62429661530429	1.6243827692371	-8.61539328083083E-05
28.5499999999998	-1.74052906858761	1.74070012777166	-0.000171059184043365
28.6641999999998	-1.87427439570624	1.87454444635648	-0.000270050650245102
28.7783999999998	-2.04287311618944	2.04322999275333	-0.000356876563889497
28.8925999999998	-2.25001587108233	2.25045973484347	-0.000443863761144137
29.0067999999998	-2.52518901301001	2.52571222386726	-0.000523210857251044
29.1209999999998	-2.13110629214794	1.55951501227603	0.571591279871914
29.2351999999998	-1.83487850926208	0.809004110502414	1.02587439875967
29.3493999999998	-1.63330691772455	0.235087327945112	1.39821958977944
29.4635999999998	-1.6079782797423	0.000302171266660572	1.60767610847564
29.5777999999998	-1.71520672055238	0.000148950827040512	1.71505776972534
29.6919999999998	-1.84224878812628	0.000236846433193392	1.84201194169309
29.8061999999998	-1.99813584314136	0.000329790402918263	1.99780605273845
29.9203999999998	-2.19024864752947	0.000415468443644038	2.18983317908582
30.0345999999998	-2.43770766277864	0.000496437337467774	2.43721122544117
30.1487999999998	-1.47477537453986	-0.574789598926962	2.04956497346682
30.2629999999998	-0.715359153995658	-1.03498020794523	1.75033936194089
30.3771999999998	-0.000648464583261621	-1.47488770999047	1.47553617457373
30.4913999999998	-2.85119129766726E-05	-1.57192315738853	1.5719516693015
30.6055999999998	-0.000114113271179767	-1.67243091559537	1.67254502886655
30.7197999999998	-0.000204497446035323	-1.79295509357357	1.7931595910196
30.8339999999998	-0.00029923684710125	-1.93753744246269	1.93783667930979
30.9481999999998	-0.000386384800539913	-2.11672209992293	2.11710848472347
31.0623999999998	-0.000470269174659156	-2.34249729527498	2.34296756444964
31.1765999999998	0.581384823146809	-1.95973195220314	1.37834712905633
31.2907999999998	1.04590545779731	-1.65861811853477	0.612712660737454
31.4049999999998	1.43778301407528	-1.43831220683187	0.000529192756588248
31.5191999999998	1.53623053826905	-1.53622569103736	-4.84723168892032E-06
31.6333999999998	1.63367665748261	-1.63375786934546	8.12118628554792E-05
31.7475999999998	1.74751754065422	-1.74769077305637	0.0001732324021535
31.8617999999998	1.88263036090506	-1.88289663460091	0.000266273695846753
31.9759999999998	2.04977055938472	-2.05012830223361	0.000357742848892339
32.0901999999998	2.25761827393978	-2.25806004483094	0.000441770891153492
32.2043999999998	2.53158554912227	-2.53210800998336	0.000522460861083207
32.3185999999998	2.13701025772048	-1.56424790439407	-0.572762353326402
32.4327999999998	1.8402812121901	-0.811903792800588	-1.02837741938951
32.5469999999998	1.63733934893032	-0.235707023711641	-1.40163232521868
